MATCHUP                                  ,GAME_ID    ,SEASON  ,GAME_DATE  ,HOME_TEAM_NICKNAME ,HOME_TEAM_ID ,AWAY_TEAM_NICKNAME ,AWAY_TEAM_ID
01/29/2021 Kings at Raptors              ,0022000292 ,2020-21 ,2021-01-29 ,Raptors            ,  1610612761 ,Kings              ,  1610612758
01/08/2021 Raptors at Kings              ,0022000132 ,2020-21 ,2021-01-08 ,Kings              ,  1610612758 ,Raptors            ,  1610612761
05/05/2021 Spurs at Jazz                 ,0022000996 ,2020-21 ,2021-05-05 ,Jazz               ,  1610612762 ,Spurs              ,  1610612759
05/03/2021 Spurs at Jazz                 ,0022000981 ,2020-21 ,2021-05-03 ,Jazz               ,  1610612762 ,Spurs              ,  1610612759
04/26/2021 Spurs at Wizards              ,0022000919 ,2020-21 ,2021-04-26 ,Wizards            ,  1610612764 ,Spurs              ,  1610612759
04/22/2021 Pistons at Spurs              ,0022000895 ,2020-21 ,2021-04-22 ,Spurs              ,  1610612759 ,Pistons            ,  1610612765
04/14/2021 Spurs at Raptors              ,0022000831 ,2020-21 ,2021-04-14 ,Raptors            ,  1610612761 ,Spurs              ,  1610612759
03/22/2021 Hornets at Spurs              ,0022000655 ,2020-21 ,2021-03-22 ,Spurs              ,  1610612759 ,Hornets            ,  1610612766
03/15/2021 Spurs at Pistons              ,0022000428 ,2020-21 ,2021-03-15 ,Pistons            ,  1610612765 ,Spurs              ,  1610612759
03/04/2021 Thunder at Spurs              ,0022000556 ,2020-21 ,2021-03-04 ,Spurs              ,  1610612759 ,Thunder            ,  1610612760
02/24/2021 Spurs at Thunder              ,0022000495 ,2020-21 ,2021-02-24 ,Thunder            ,  1610612760 ,Spurs              ,  1610612759
02/14/2021 Spurs at Hornets              ,0022000414 ,2020-21 ,2021-02-14 ,Hornets            ,  1610612766 ,Spurs              ,  1610612759
02/01/2021 Grizzlies at Spurs            ,0022000320 ,2020-21 ,2021-02-01 ,Spurs              ,  1610612759 ,Grizzlies          ,  1610612763
01/30/2021 Grizzlies at Spurs            ,0022000304 ,2020-21 ,2021-01-30 ,Spurs              ,  1610612759 ,Grizzlies          ,  1610612763
01/24/2021 Wizards at Spurs              ,0022000253 ,2020-21 ,2021-01-24 ,Spurs              ,  1610612759 ,Wizards            ,  1610612764
01/12/2021 Spurs at Thunder              ,0022000162 ,2020-21 ,2021-01-12 ,Thunder            ,  1610612760 ,Spurs              ,  1610612759
01/03/2021 Jazz at Spurs                 ,0022000089 ,2020-21 ,2021-01-03 ,Spurs              ,  1610612759 ,Jazz               ,  1610612762
12/26/2020 Raptors at Spurs              ,0022000027 ,2020-21 ,2020-12-26 ,Spurs              ,  1610612759 ,Raptors            ,  1610612761
