HOME_LAST_GAME_OE,HOME_LAST_GAME_HOME_WIN_PCTG,HOME_NUM_REST_DAYS,HOME_LAST_GAME_AWAY_WIN_PCTG,HOME_LAST_GAME_TOTAL_WIN_PCTG,HOME_LAST_GAME_ROLLING_SCORING_MARGIN,HOME_LAST_GAME_ROLLING_OE,HOME_W,HOME_TEAM_ID,GAME_ID,SEASON,AWAY_LAST_GAME_OE,AWAY_LAST_GAME_HOME_WIN_PCTG,AWAY_NUM_REST_DAYS,AWAY_LAST_GAME_AWAY_WIN_PCTG,AWAY_LAST_GAME_TOTAL_WIN_PCTG,AWAY_LAST_GAME_ROLLING_SCORING_MARGIN,AWAY_LAST_GAME_ROLLING_OE,AWAY_TEAM_ID
0.5175438596491229,1.0,3.0,0.3333333333333333,0.5,-18.0,0.5173062865497077,0,1610612750,22000074,2020-21,0.5948275862068966,0.0,1.0,0.0,0.0,-6.0,0.5665995003555864,1610612764
0.528,1.0,2.0,0.25,0.4,5.333333333333333,0.5789363417325317,1,1610612749,22000073,2020-21,0.6268656716417911,0.0,1.0,1.0,0.4,3.333333333333333,0.5658698939100212,1610612741
0.6461538461538462,0.6666666666666666,2.0,0.5,0.6,-1.0,0.5534688475366442,0,1610612751,22000072,2020-21,0.6115702479338843,1.0,2.0,0.6666666666666666,0.75,4.666666666666667,0.5816495218409093,1610612737
0.5603448275862069,0.5,2.0,0.5,0.5,-4.0,0.5565768702950112,0,1610612759,22000075,2020-21,0.6068376068376068,0.5,2.0,1.0,0.6,14.0,0.5815466581035289,1610612747
0.5,0.0,3.0,0.0,0.0,-9.0,0.5211695297588061,1,1610612765,22000070,2020-21,0.6129032258064516,0.6666666666666666,2.0,0.5,0.6,7.666666666666667,0.5832596975526821,1610612738
0.5267857142857143,,3.0,0.5,0.5,-9.333333333333334,0.4864295758480169,0,1610612744,22000078,2020-21,0.4423076923076923,0.5,2.0,0.5,0.5,-4.333333333333333,0.5255614149056771,1610612757
0.4903846153846153,0.0,1.0,1.0,0.5,-5.0,0.5070999112418433,1,1610612762,22000077,2020-21,0.616,0.6666666666666666,2.0,1.0,0.8,-1.6666666666666667,0.5437155612244898,1610612746
0.5867768595041323,0.3333333333333333,3.0,0.0,0.25,-3.333333333333333,0.5938668197054251,0,1610612743,22000076,2020-21,0.5583333333333333,1.0,1.0,0.6666666666666666,0.8,17.333333333333332,0.5811010623026126,1610612756
0.5178571428571429,0.0,2.0,0.3333333333333333,0.25,3.0,0.5671144604630843,1,1610612742,22000071,2020-21,0.5462184873949579,0.6666666666666666,2.0,0.0,0.5,-7.666666666666667,0.5382452762131906,1610612748
0.5793650793650794,0.5,2.0,0.5,0.5,6.333333333333333,0.5663881927039821,0,1610612766,22000069,2020-21,0.5196850393700787,0.0,2.0,0.5,0.25,-8.0,0.510693911194985,1610612763
0.5833333333333334,0.75,2.0,1.0,0.8,5.333333333333333,0.5761774655217278,0,1610612754,22000080,2020-21,0.4568965517241379,0.5,2.0,0.3333333333333333,0.4,4.0,0.5202940196568382,1610612752
0.5929203539823009,1.0,2.0,0.5,0.6,3.6666666666666665,0.5340576312984061,1,1610612740,22000084,2020-21,0.4867256637168141,0.5,2.0,0.0,0.25,1.6666666666666667,0.5031191924192728,1610612761
0.5491803278688525,1.0,2.0,0.6666666666666666,0.8,2.333333333333333,0.4977521222574925,1,1610612755,22000082,2020-21,0.4915254237288136,0.3333333333333333,1.0,0.5,0.4,2.0,0.552452222835809,1610612766
0.5677966101694916,1.0,1.0,0.75,0.8,7.333333333333333,0.592552485464658,0,1610612737,22000083,2020-21,0.5315315315315315,0.6666666666666666,2.0,0.5,0.6,-1.6666666666666667,0.5496638732209056,1610612739
0.5916666666666667,1.0,2.0,0.0,0.3333333333333333,-4.0,0.5720856102003643,1,1610612745,22000079,2020-21,0.5666666666666667,0.6666666666666666,2.0,0.5,0.6,-3.0,0.5721955244891025,1610612758
0.4424778761061947,0.5,2.0,1.0,0.8,-2.0,0.5353339690794486,0,1610612753,22000081,2020-21,0.4655172413793103,0.0,2.0,1.0,0.25,-15.0,0.5084487670694567,1610612760
0.4736842105263157,0.3333333333333333,2.0,0.0,0.2,-5.0,0.5222015215028722,0,1610612765,22000085,2020-21,0.5042735042735043,0.6666666666666666,2.0,0.3333333333333333,0.5,7.0,0.5698032465962313,1610612738
0.4909090909090909,0.5,2.0,0.5,0.5,-6.333333333333333,0.5532634032634033,0,1610612751,22000086,2020-21,0.6363636363636364,0.0,2.0,0.5,0.1666666666666666,3.333333333333333,0.5797959812940028,1610612764
0.5596330275229358,1.0,2.0,0.75,0.8333333333333334,13.0,0.560927058557028,0,1610612756,22000091,2020-21,0.5098039215686274,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,13.333333333333334,0.5809971405228759,1610612746
0.5877862595419847,0.0,2.0,0.6666666666666666,0.4,0.3333333333333333,0.5399559977089798,0,1610612763,22000087,2020-21,0.544,0.5,2.0,1.0,0.6666666666666666,4.0,0.5588998919343747,1610612747
0.4666666666666667,0.0,2.0,0.6666666666666666,0.3333333333333333,-6.333333333333333,0.5393741674142947,1,1610612741,22000090,2020-21,0.4587155963302752,0.5,2.0,0.3333333333333333,0.4,14.0,0.5334753167321975,1610612742
0.5175438596491229,0.5,2.0,0.3333333333333333,0.4,-26.666666666666668,0.5064875730994153,0,1610612750,22000088,2020-21,0.5677966101694916,0.25,2.0,0.0,0.2,0.0,0.5935299099454084,1610612743
0.5221238938053098,0.3333333333333333,2.0,0.5,0.4,-7.666666666666667,0.5301350764426748,0,1610612759,22000089,2020-21,0.5847457627118644,0.3333333333333333,2.0,1.0,0.6,-1.3333333333333333,0.5460518627268378,1610612762
0.4545454545454545,0.0,2.0,0.5,0.4,-4.666666666666667,0.497593850170186,1,1610612744,22000092,2020-21,0.5384615384615384,0.5,2.0,0.6666666666666666,0.6,3.333333333333333,0.5181799075241698,1610612757
0.4495412844036697,0.6666666666666666,3.0,0.0,0.4,-15.333333333333334,0.497209180131223,1,1610612748,22000096,2020-21,0.5263157894736842,0.0,2.0,1.0,0.4,-11.666666666666666,0.510098189771511,1610612760
0.4903846153846153,1.0,2.0,0.0,0.5,-0.6666666666666666,0.5355471486619027,0,1610612745,22000098,2020-21,0.5344827586206896,0.5,1.0,0.25,0.3333333333333333,-6.333333333333333,0.503685165936036,1610612742
0.5564516129032258,1.0,3.0,0.25,0.5,22.0,0.5726797997209225,1,1610612749,22000099,2020-21,0.5982905982905983,0.25,1.0,0.0,0.1666666666666666,-3.0,0.5239916029389713,1610612765
0.5,0.5,2.0,0.75,0.6666666666666666,3.0,0.5597889527011253,0,1610612737,22000095,2020-21,0.5803571428571429,0.5,2.0,0.5,0.5,-1.3333333333333333,0.5109686228314415,1610612752
0.5648148148148148,1.0,2.0,0.5,0.6666666666666666,4.0,0.5588676977751392,0,1610612740,22000100,2020-21,0.509090909090909,0.6,2.0,1.0,0.6666666666666666,3.6666666666666665,0.555398244742507,1610612754
0.6356589147286822,1.0,2.0,0.6666666666666666,0.8333333333333334,15.333333333333334,0.5472452647738909,1,1610612755,22000094,2020-21,0.5806451612903226,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,-3.6666666666666665,0.5505118881280718,1610612766
0.5083333333333333,0.3333333333333333,2.0,1.0,0.6666666666666666,-7.333333333333333,0.5235486400611099,1,1610612753,22000093,2020-21,0.5181818181818182,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,-8.0,0.515042064583349,1610612739
0.6260869565217392,0.5,1.0,0.5,0.5,0.0,0.5358060417843027,1,1610612744,22000101,2020-21,0.4509803921568627,0.6666666666666666,2.0,0.3333333333333333,0.5,-0.3333333333333333,0.5482103952692189,1610612758
0.5267857142857143,0.5,2.0,0.0,0.2,2.0,0.483842635642716,0,1610612761,22000097,2020-21,0.65625,0.6666666666666666,1.0,0.5,0.5714285714285714,6.0,0.5911422433599852,1610612738
0.5299145299145299,0.0,2.0,0.6666666666666666,0.3333333333333333,-6.0,0.545795276275531,0,1610612763,22000103,2020-21,0.5855855855855856,0.5,2.0,1.0,0.7142857142857143,11.333333333333334,0.5788077308077308,1610612747
0.5,0.5,2.0,0.5,0.5,-4.333333333333333,0.4935897435897436,0,1610612757,22000106,2020-21,0.5188679245283019,0.25,2.0,0.6666666666666666,0.4285714285714285,-5.666666666666667,0.5374667542789199,1610612741
0.5871559633027523,0.6666666666666666,2.0,0.75,0.7142857142857143,7.333333333333333,0.57098662829046,0,1610612746,22000105,2020-21,0.5537190082644629,0.25,2.0,0.5,0.3333333333333333,-13.666666666666666,0.5453959098853266,1610612759
0.5462184873949579,0.4,2.0,0.5,0.4285714285714285,-5.0,0.5610938081526317,1,1610612751,22000102,2020-21,0.6046511627906976,0.3333333333333333,2.0,1.0,0.6666666666666666,5.333333333333333,0.5599271802957259,1610612762
