CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID,HOME_FLAG,AWAY_FLAG,HOME_WIN_PCTG,AWAY_WIN_PCTG,TOTAL_WIN_PCTG,ROLLING_SCORING_MARGIN,ROLLING_OE,NUM_REST_DAYS
Utah,Jazz,1610612762,0,1,0,1,0,0,1,14,1,5,240,0,40,96,0.417,19,48,0.396,22,25,0.88,13,34,61,25,17,8,16,4,121,61.0,121.0,0,0.5241935483870968,-3.0,2024-25,2025-01-07,22400506,1,0,0.13333333333333333,0.3157894736842105,0.23529411764705882,15.333333333333334,0.5661926174759029,2.0
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,0,8,1,5,240,0,47,98,0.48,18,44,0.409,12,15,0.8,12,32,52,35,22,6,10,11,124,52.0,124.0,0,0.6259541984732825,3.0,2024-25,2025-01-07,22400506,0,1,0.5882352941176471,0.47368421052631576,0.5135135135135135,-13.333333333333334,0.5585646441411809,3.0
LA,Clippers,1610612746,1,0,1,0,0,0,0,9,1,5,240,0,53,96,0.552,13,36,0.361,12,17,0.706,7,41,57,36,17,15,17,3,131,57.0,131.0,0,0.6267605633802817,26.0,2024-25,2025-01-04,22400486,1,0,0.6666666666666666,0.47058823529411764,0.5714285714285714,-9.333333333333334,0.5350163989471097,2.0
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,1,2,1,5,240,0,38,88,0.432,16,46,0.348,13,17,0.765,8,35,45,30,12,11,23,4,105,45.0,105.0,0,0.5112781954887218,-26.0,2024-25,2025-01-04,22400486,0,1,0.5882352941176471,0.4444444444444444,0.5,-20.666666666666668,0.5435406956304788,1.0
Los Angeles,Lakers,1610612747,1,0,1,0,0,0,1,12,1,5,240,0,43,88,0.489,13,30,0.433,20,25,0.8,17,39,68,28,21,4,19,6,119,68.0,119.0,0,0.6016949152542372,17.0,2024-25,2025-01-03,22400477,1,0,0.7058823529411765,0.47058823529411764,0.5882352941176471,4.333333333333333,0.5858108733907567,1.0
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,0,6,1,5,240,0,41,100,0.41,6,34,0.176,14,18,0.778,13,26,45,22,22,10,8,3,102,45.0,102.0,0,0.5384615384615384,-17.0,2024-25,2025-01-03,22400477,0,1,0.5882352941176471,0.47058823529411764,0.5142857142857142,-2.3333333333333335,0.5741728315257727,2.0
Denver,Nuggets,1610612743,1,0,1,0,0,0,1,6,1,5,240,0,53,94,0.564,12,30,0.4,21,21,1.0,4,39,49,44,16,8,13,5,139,49.0,139.0,0,0.6598639455782312,19.0,2024-25,2025-01-01,22400461,1,0,0.6666666666666666,0.5294117647058824,0.59375,14.333333333333334,0.6617000376398873,2.0
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,1,10,1,5,240,0,45,100,0.45,16,46,0.348,14,21,0.667,12,32,54,34,16,10,14,5,120,54.0,120.0,0,0.5808823529411765,-19.0,2024-25,2025-01-01,22400461,0,1,0.5882352941176471,0.5,0.5294117647058824,6.666666666666667,0.6043630713934319,3.0
Toronto,Raptors,1610612761,0,1,0,1,0,0,0,8,1,5,240,0,38,85,0.447,7,24,0.292,24,27,0.889,15,37,60,26,26,10,31,4,107,60.0,107.0,0,0.5039370078740157,-29.0,2024-25,2024-12-29,22400438,1,0,0.35294117647058826,0.06666666666666667,0.21875,-24.0,0.5659964368605741,3.0
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,1,8,1,5,240,0,46,95,0.484,18,45,0.4,26,35,0.743,14,26,48,30,19,22,15,8,136,48.0,136.0,0,0.6031746031746031,29.0,2024-25,2024-12-29,22400438,0,1,0.5882352941176471,0.5333333333333333,0.5454545454545454,15.666666666666666,0.622117734234178,1.0
Atlanta,Hawks,1610612737,1,0,1,0,0,0,2,5,1,5,240,0,44,86,0.512,15,37,0.405,17,22,0.773,9,38,52,34,16,7,13,2,120,52.0,120.0,0,0.6290322580645161,10.0,2024-25,2024-12-28,22400427,1,0,0.5882352941176471,0.5,0.53125,10.333333333333334,0.6090937212101649,2.0
OPPONENTS, Heat,1610612748,0,1,0,0,0,1,1,4,1,5,240,0,40,90,0.444,13,41,0.317,17,18,0.944,8,34,46,23,19,9,9,4,110,46.0,110.0,0,0.5526315789473685,-10.0,2024-25,2024-12-28,22400427,0,1,0.6428571428571429,0.35714285714285715,0.5172413793103449,2.0,0.5295558716611348,2.0
